block,trial,event,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue,blink
1,1,baseline,nan,-1.7529552060877904,nan,nan,nan,nan,nan,1776.0,5.0,nan,nan,nan
1,1,baseline,nan,-1.750951812544372,nan,nan,nan,nan,nan,1776.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.7489509098231792,nan,nan,nan,nan,nan,1776.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7469502838212065,nan,nan,nan,nan,nan,1777.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7449493810418062,nan,nan,nan,nan,nan,1777.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.7429484782624058,nan,nan,nan,nan,nan,1777.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7409475755412132,nan,nan,nan,nan,nan,1781.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7389480565325357,nan,nan,nan,nan,nan,1780.0,4.0,nan,nan,nan
1,1,baseline,nan,-1.7369454932631925,nan,nan,nan,nan,nan,1780.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.7349440369871445,nan,nan,nan,nan,nan,1775.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.732942027214449,nan,nan,nan,nan,nan,1775.0,-5.0,nan,nan,nan
1,1,baseline,nan,-1.730940017499961,nan,nan,nan,nan,nan,1780.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7289380077272654,nan,nan,nan,nan,nan,1780.0,5.0,nan,nan,nan
1,1,baseline,nan,-1.726936828228645,nan,nan,nan,nan,nan,1780.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7249339881818742,nan,nan,nan,nan,nan,1780.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7229330854606815,nan,nan,nan,nan,nan,1780.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7209299686946906,nan,nan,nan,nan,nan,1778.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.718929342692718,nan,nan,nan,nan,nan,1778.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.7169281631940976,nan,nan,nan,nan,nan,1778.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7149275371339172,nan,nan,nan,nan,nan,1778.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.712926080916077,nan,nan,nan,nan,nan,1779.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7109262851299718,nan,nan,nan,nan,nan,1779.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.7089251056313515,nan,nan,nan,nan,nan,1780.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7069228191394359,nan,nan,nan,nan,nan,1780.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.704921362863388,nan,nan,nan,nan,nan,1781.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.7029212903580628,nan,nan,nan,nan,nan,1782.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.7009209410753101,nan,nan,nan,nan,nan,1782.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6989216988440603,nan,nan,nan,nan,nan,1782.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6969213495613076,nan,nan,nan,nan,nan,1782.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6949210003367625,nan,nan,nan,nan,nan,1783.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6929212045506574,nan,nan,nan,nan,nan,1783.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6909189180587418,nan,nan,nan,nan,nan,1781.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6889169082860462,nan,nan,nan,nan,nan,1781.0,-2.0,nan,nan,nan
1,1,baseline,nan,-1.6869146217941307,nan,nan,nan,nan,nan,1781.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6849145492888056,nan,nan,nan,nan,nan,1782.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.68291253951611,nan,nan,nan,nan,nan,1783.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6809119135141373,nan,nan,nan,nan,nan,1782.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.678910734015517,nan,nan,nan,nan,nan,1782.0,-1.0,nan,nan,nan
1,1,baseline,nan,-1.6769101080135442,nan,nan,nan,nan,nan,1785.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6749097587307915,nan,nan,nan,nan,nan,1785.0,3.0,nan,nan,nan
1,1,baseline,nan,-1.672907472238876,nan,nan,nan,nan,nan,1786.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.670906015962828,nan,nan,nan,nan,nan,1786.0,1.0,nan,nan,nan
1,1,baseline,nan,-1.6689037294709124,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
1,1,baseline,nan,-1.6669033801881596,nan,nan,nan,nan,nan,1790.0,4.0,nan,nan,nan
1,1,baseline,nan,-1.6649019239703193,nan,nan,nan,nan,nan,1790.0,0.0,nan,nan,nan
