block,trial,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample
1,2,11759085066.465336,12.402284325784422,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,0.002,1476.0
1,2,11759087128.61603,12.404346418261412,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,0.0,1476.0
1,2,11759089185.863708,12.406403805929585,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,0.0,1476.0
1,2,11759091255.086433,12.408471433474915,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,0.0,1476.0
1,2,11759093261.384705,12.410477621699101,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1477.0,0.001,1477.0
1,2,11759095314.657011,12.412530858055106,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1477.0,0.001,1477.0
1,2,11759097376.84387,12.414592120272573,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1477.0,0.0,1477.0
1,2,11759099433.106993,12.416648124170024,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,-0.001,1476.0
1,2,11759101500.204853,12.418715751729906,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1476.0,-0.001,1476.0
1,2,11759103557.940756,12.420774799917126,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1483.0,0.007,1483.0
1,2,11759105607.86194,12.422826375754084,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1483.0,0.007,1483.0
1,2,11759107662.944702,12.42488210288866,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,-0.002,1481.0
1,2,11759109719.145807,12.426939490556833,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1481.0,-0.002,1481.0
1,2,11759111770.502892,12.42900435057527,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,-0.001,1480.0
1,2,11759113843.536577,12.431066166303935,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1480.0,-0.001,1480.0
1,2,11759115897.085846,12.433121063178987,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.006,1486.0
1,2,11759117970.76413,12.435194502570084,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1486.0,0.006,1486.0
1,2,11759120031.608847,12.437255488039227,18.4,29.1,1135.3790336610946,1334.8330963578694,1534.2871590546442,1487.0,0.001,1487.0
