block,trial,eyelink_timestamp,psychopy_timestamp,cpu,ram,pupil_baseline_min,pupil_baseline_mean,pupil_baseline_max,old_pupil_sample,pupil_velocity,new_pupil_sample,cue_no
1,1,13293961027.509016,15.685753821977414,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1844.0,0.001,1844.0,green
1,1,13293963042.698835,15.687768312782282,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1844.0,0.0,1844.0,green
1,1,13293965105.744858,15.689830405259272,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1845.0,0.001,1845.0,green
1,1,13293967149.58996,15.691875339020044,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1845.0,0.001,1845.0,green
1,1,13293969208.838161,15.69393411045894,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1846.0,0.001,1846.0,green
1,1,13293971243.681398,15.695969081047224,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1846.0,0.001,1846.0,green
1,1,13293973273.58777,15.69799851658172,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1846.0,0.0,1846.0,green
1,1,13293975362.716015,15.700089668214787,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1846.0,0.0,1846.0,green
1,1,13293977395.901695,15.702124915580498,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1848.0,0.002,1848.0,green
1,1,13293979430.703661,15.704159886197885,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1848.0,0.002,1848.0,green
1,1,13293981458.429588,15.70620343615883,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1848.0,0.0,1848.0,green
1,1,13293983507.200996,15.708240344043588,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1849.0,0.001,1849.0,green
1,1,13293985544.336977,15.710280296218116,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1849.0,0.001,1849.0,green
1,1,13293987575.250237,15.712312222545734,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1849.0,0.0,1849.0,green
1,1,13293989606.685232,15.714343318599276,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1849.0,0.0,1849.0,green
1,1,13293991638.271528,15.716375244926894,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1850.0,0.001,1850.0,green
1,1,13293993685.826097,15.718423499725759,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1850.0,0.001,1850.0,green
1,1,13293995693.729576,15.72043134845444,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1850.0,0.0,1850.0,green
1,1,13293997723.234985,15.722461337485583,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1850.0,0.0,1850.0,green
1,1,13293999752.790285,15.72450350370491,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1851.0,0.001,1851.0,green
1,1,13294001803.434479,15.726554249267792,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1851.0,0.001,1851.0,green
1,1,13294003833.30579,15.728571230894886,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1851.0,0.0,1851.0,green
1,1,13294005939.302082,15.730681478511542,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1851.0,0.0,1851.0,green
1,1,13294007970.09604,15.73271340483916,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1851.0,0.0,1851.0,green
1,1,13294010017.83412,15.734762489882996,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1851.0,0.0,1851.0,green
1,1,13294012047.957438,15.736793585936539,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1854.0,0.003,1854.0,green
1,1,13294014080.25829,15.738826342538232,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1855.0,0.004,1855.0,green
1,1,13294016115.653124,15.740872936788946,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1855.0,0.001,1855.0,green
1,1,13294018204.360062,15.742950804240536,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1859.0,0.004,1859.0,green
1,1,13294020227.97286,15.744975534966215,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1859.0,0.004,1859.0,green
1,1,13294022258.693403,15.747006354271434,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1861.0,0.002,1861.0,green
1,1,13294024289.359535,15.749036896799225,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1861.0,0.002,1861.0,green
1,1,13294026319.152344,15.75106743935612,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1861.0,0.0,1861.0,green
1,1,13294028349.009296,15.753097428387264,20.0,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1861.0,0.0,1861.0,green
1,1,13294037600.54392,15.762352628604276,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1862.0,0.001,1862.0,green
1,1,13294039642.133041,15.764397562335944,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1862.0,0.001,1862.0,green
1,1,13294041674.97038,15.766432809701655,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1862.0,0.0,1862.0,green
1,1,13294043718.930973,15.768489920621505,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1864.0,0.002,1864.0,green
1,1,13294045764.412354,15.770524614490569,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1864.0,0.002,1864.0,green
1,1,13294047792.964106,15.772568164451513,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1866.0,0.002,1866.0,green
1,1,13294049820.704823,15.774595939466963,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1867.0,0.003,1867.0,green
1,1,13294051884.054111,15.776649729319615,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1867.0,0.001,1867.0,green
1,1,13294053914.43303,15.778680825373158,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1867.0,0.0,1867.0,green
1,1,13294055947.864368,15.780713858723175,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1867.0,0.0,1867.0,green
1,1,13294057981.567081,15.782749106088886,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1867.0,0.0,1867.0,green
1,1,13294060055.29574,15.78482254545088,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1871.0,0.004,1871.0,green
1,1,13294062094.089825,15.786872460768791,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1871.0,0.004,1871.0,green
1,1,13294064132.948029,15.788899405539269,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1871.0,0.0,1871.0,green
1,1,13294066171.948029,15.790938804188045,9.5,29.0,1490.7779856112843,1592.1572327044025,1693.5364797975208,1871.0,0.0,1871.0,green
