order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,Break_loop.thisRepN,Break_loop.thisTrialN,Break_loop.thisN,Break_loop.thisIndex,block_key.keys,block_key.rt,Break_key.keys,Break_key.rt,date,frameRate,expName,Participant,
2,cont_inst,procedure\2.csv,blank,5.53,Neutral,2579.bmp,Low,0,2,3.85,,,,,0,2,2,2,0,2,2,23,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,2.93,Negative,9530.bmp,High,0,2,5.2,,,,,0,2,2,2,0,3,3,14,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,4.23,Neutral,7234.bmp,Low,0,2,2.96,,,,,0,2,2,2,0,4,4,28,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,6.64,Positive,2250.bmp,Low,0,2,4.19,,,,,0,2,2,2,0,5,5,18,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,2.96,Negative,2455.bmp,Low,0,2,4.46,,,,,0,2,2,2,0,6,6,22,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,4.83,Neutral,2190.bmp,Low,0,2,2.41,,,,,0,2,2,2,0,7,7,16,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,4.5,Neutral,2272.bmp,Low,0,2,3.74,,,,,0,2,2,2,0,8,8,20,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,7.56,Positive,8380.bmp,High,0,2,5.74,,,,,0,2,2,2,0,9,9,12,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,4.31,Neutral,2810.bmp,Low,0,2,4.47,,,,,0,2,2,2,0,10,10,26,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,2.42,Negative,2799.bmp,High,0,2,5.02,,,,,0,2,2,2,0,11,11,4,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,4.38,Neutral,2210.bmp,Low,0,2,3.56,,,,,0,2,2,2,0,12,12,17,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,2.45,Negative,2900.bmp,High,0,2,5.09,,,,,0,2,2,2,0,13,13,5,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,3.26,Negative,2590.bmp,Low,0,2,3.93,,,,,0,2,2,2,0,14,14,24,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,5.96,Positive,8465.bmp,Low,0,2,1.49,,,,,0,2,2,2,0,15,15,29,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,6.65,Positive,8041.bmp,High,0,2,5.49,,,,,0,2,2,2,0,16,16,11,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,7.12,Positive,4599.bmp,High,0,2,5.69,,,,,0,2,2,2,0,17,17,7,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,5.31,Neutral,2870.bmp,Low,0,2,3.01,,,,,0,2,2,2,0,18,18,27,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
2,cont_inst,procedure\2.csv,blank,7.76,Positive,8420.bmp,High,0,2,5.56,,,,,0,2,2,2,0,19,19,13,,,,,,,,,2016_May_18_1435,119.936269791,CGP,102,
