participant,session,code,expName,date,os,gpu,heap.used,heap.limit,browser,isWebcamUsed,WebcamMessage,WebcamDevice,webcamSize.px,luminance,isWindowSuccess,monitorSize.px,windowSize.px,diagonalSize.in,devicePixelRatio,isPageVisible,isFullscreen,scaling,gpuFullName,gpuType,browserFullName,browserBrand,browserVersion,osFullName,osBrand,osVersion
1164,13,P17,dotprobe_js,2018-04-11 17:15:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5764705882352941,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1164,14,P17,dotprobe_js,2018-04-12 15:10:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),14.3MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5960784313725489,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1164,15,P17,dotprobe_js,2018-04-16 17:21:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,26MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.4431372549019608,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,16,P17,dotprobe_js,2018-04-18 04:42:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,27.6MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.4470588235294118,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,17,P17,dotprobe_js,2018-04-18 16:17:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),20.5MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5647058823529412,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1164,1,P17,dotprobe_js,2018-03-26 18:03:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,26MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.5372549019607843,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,2,P17,dotprobe_js,2018-03-27 19:35:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,26MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.407843137254902,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,3,P17,dotprobe_js,2018-03-28 17:35:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),27.6MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5607843137254902,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1164,4,P17,dotprobe_js,2018-03-30 18:38:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),18.2MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5450980392156862,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1164,5,P17,dotprobe_js,2018-03-30 19:06:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),26MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5450980392156862,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
1164,6,P17,dotprobe_js,2018-04-02 23:25:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,27.6MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.4627450980392157,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,7,P17,dotprobe_js,2018-04-04 03:24:00,Mac OS X 10.13.3,Intel(R) HD Graphics 6000,24.5MB,2190MB,Chrome 65,True,Success,FaceTime,1280x720,0.4235294117647059,True,1440x900,1440x900,17.69,1,True,True,1,Intel HD Graphics 6000,integrated,Chrome 65,Chrome,65,Mac OS X 10.13.3,macOS,10.13.3
1164,8,P17,dotprobe_js,2018-04-04 17:11:00,Windows 8.1,ANGLE (Intel(R) HD Graphics 4600 Direct3D11 vs_5_0 ps_5_0),24.5MB,2190MB,Chrome 65,True,Success,C922,1280x720,0.5803921568627451,True,1920x1080,1920x1080,22.95,1,True,True,1,Intel HD Graphics 4600,integrated,Chrome 65,Chrome,65,Windows 8.1,Microsoft Windows,8.1
