2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 65536
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:58 DEBUG PIL.PngImagePlugin STREAM IDAT 41 60473
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IDAT 41 58790
2017-06-19 17:06:59 DEBUG PIL.PngImagePlugin STREAM IHDR 16 13
